Date,Open,High,Low,Close,Volume
5/13/2011 15:00:00,122.95,123.28,122.61,122.95,1212
5/16/2011 15:00:00,122.03,122.94,121.59,122.03,685780352
5/18/2011 15:00:00,123.46,123.59,122.07,123.46,981171328
5/19/2011 15:00:00,123.81,124.16,123.44,123.81,1604
5/20/2011 15:00:00,124.84,124.84,123.82,124.84,1138
5/23/2011 15:00:00,122,124.79,121.55,122,331
5/24/2011 15:00:00,122.07,122.25,121.47,122.07,2781
5/25/2011 15:00:00,121.86,122.04,121.31,121.86,307228832
5/26/2011 15:00:00,123.23,123.44,121.87,123.23,2404
5/27/2011 15:00:00,123.91,124.1,122.31,123.91,135249040
5/30/2011 15:00:00,123.44,123.99,123.15,123.44,747456768
5/31/2011 15:00:00,123.81,123.94,123.05,123.81,786
6/1/2011 15:00:00,124.19,124.66,123.63,124.19,683780992
6/3/2011 15:00:00,123.95,124.18,123.27,123.95,1428
6/6/2011 15:00:00,123.67,123.93,123.22,123.67,957075968
6/7/2011 15:00:00,123.74,123.76,122.91,123.74,1932
6/8/2011 15:00:00,123.21,123.73,122.72,123.21,1440
6/9/2011 15:00:00,122.48,123.2,122.13,122.48,362
6/10/2011 15:00:00,121.41,122.83,121.16,121.41,2107
6/13/2011 15:00:00,120.27,121.39,119.34,120.27,1155
6/14/2011 15:00:00,121.01,121.03,119.61,121.01,880600960
6/15/2011 15:00:00,121.5,122.06,121.02,121.5,1024053056
6/16/2011 15:00:00,119.91,121.48,119.11,119.91,261
6/17/2011 15:00:00,119.03,120.2,118.37,119.03,3271
6/20/2011 15:00:00,119.21,120.03,118.77,119.21,1005821696
6/21/2011 15:00:00,121.19,121.29,119.24,121.19,1247
6/22/2011 15:00:00,121.88,121.99,121.22,121.88,2000
6/23/2011 15:00:00,121.96,122.29,121.23,121.96,300851968
6/24/2011 15:00:00,123.14,123.36,121.92,123.14,927
6/27/2011 15:00:00,122.06,123.13,121.82,122.06,860912640
6/28/2011 15:00:00,122.56,122.8,122.07,122.56,1978
6/30/2011 15:00:00,124.29,124.53,122.57,124.29,2320
7/1/2011 15:00:00,125.4,126.55,124.27,125.4,992513984
7/5/2011 15:00:00,125.8,126.81,125.13,125.8,4055
7/6/2011 15:00:00,125.39,126.39,124.93,125.39,3277
7/7/2011 15:00:00,126.26,126.41,125.36,126.26,929157184
7/8/2011 15:00:00,128.24,128.27,126.28,128.24,996611392
7/11/2011 15:00:00,127.7,128.19,126.94,127.7,2598
7/12/2011 15:00:00,125.9,127.68,125.4,125.9,3610
